,package_id,citation,keywords
11,knb-lter-ble.19.1,"Beaufort Lagoon Ecosystems LTER, B. Crump, C. Kellogg, K. Baker, J. McClelland, and K. Dunton. 2021. Catalog of GenBank sequence read archive (SRA) entries of metagenomic DNA sequence analyses of bacterial and archaeal water column communities along the Eastern Beaufort Sea coast, North Slope, Alaska, 2012 ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/6bfe32f7eb95a886ee5af8f099634b3c.",B
12,knb-lter-ble.2.5,"Beaufort Lagoon Ecosystems LTER, Core Program. 2022. Dissolved organic carbon (DOC) and total dissolved nitrogen (TDN) from river, lagoon, and open ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing ver 5. Environmental Data Initiative. https://doi.org/10.6073/pasta/a84f4096a5793427f7f9c671e0496285.",C
13,knb-lter-ble.22.1,"Tweedie, C., S. Escarzaga, W. Manley, G. Tarin, and A. Gaylord. 2022. Near-shore bathymetry for Elson Lagoon and Chukchi Sea, Barrow Region, northern Alaska ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/e1c1430ef402c0823747bb3bb0a98694.",NA
14,knb-lter-ble.23.1,"Beaufort Lagoon Ecosystems LTER and M. Rawlins. 2021. Model estimates of runoff, dissolved organic carbon, soil temperature and moisture for Elson Lagoon watershed, Alaska, 1981-2020 ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/a49b3da18b4c83d6ff69d9d878bb7dc3.","C, D"
15,knb-lter-ble.3.1,"Beaufort Lagoon Ecosystems LTER, Core Program. 2020. Physiochemical water column parameters and hydrographic time series from river, lagoon, and open ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/e0e71c2d59bf7b08928061f546be6a9a.","C, D, E"
16,knb-lter-ble.4.2,"Beaufort Lagoon Ecosystems LTER, Core Program. 2022. Stable oxygen isotope ratios of water (H2O-d18O) from river, lagoon, and open ocean sites along the Alaska Beaufort Sea coast, 2019-ongoing ver 2. Environmental Data Initiative. https://doi.org/10.6073/pasta/a93ab97d2f9201e26b3cabc16c34abea.",D
17,knb-lter-ble.5.4,"Beaufort Lagoon Ecosystems LTER and M. Rawlins. 2020. Model simulated hydrological estimates for the North Slope drainage basin, Alaska, 1980-2010 ver 4. Environmental Data Initiative. https://doi.org/10.6073/pasta/c75da77e6d8dc39e64e3e60fefd6e665.",D
18,knb-lter-ble.6.1,"Beaufort Lagoon Ecosystems LTER, Core Program. 2020. Photosynthetically active radiation (PAR) time series from lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/ced2cedd430d430d9149b9d7f1919729.",A
19,knb-lter-ble.7.4,"Beaufort Lagoon Ecosystems LTER and J. Kasper. 2021. Circulation dynamics: currents, waves, temperature measurements from moorings in lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing ver 4. Environmental Data Initiative. https://doi.org/10.6073/pasta/33148f09ef3e5854ed285d9603f53dc4.",D
20,knb-lter-ble.8.7,"Beaufort Lagoon Ecosystems LTER, A. Mahoney, C. Polashenski, and J. Hutchings. 2021. Seasonal Ice Mass-balance Buoy (SIMB) measurements from sites along the Beaufort Sea Coast, Alaska, 2018-ongoing ver 7. Environmental Data Initiative. https://doi.org/10.6073/pasta/39e2f0646f0b86a8b8a2e2be98cc925a.",E
21,knb-lter-ble.9.1,"Beaufort Lagoon Ecosystems LTER, Core Program. 2020. Time series of water column pH from lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/9305328d0f1ed28fbb2d7cf56c686786.",A
22,NA,"Rawlins M ; Connolly C ; McClelland J (2021): Model estimates of dissolved organic carbon, runoff, snowmelt, and snow water equivalent from 1981-2010 across the western Arctic. Quantifying Variability and Controls of Riverine Dissolved Organic Carbon Exported to Arctic Coastal Margins of North America, ESS-DIVE repository. Dataset. doi:10.15485/1809256",NA
23,NA,"Crump, Byron. ""BioProject 642637 - NCBI,"" June 28, 2020. https://www.ncbi.nlm.nih.gov/bioproject/PRJNA642637.",B
24,NA,"Crump, Byron. ""BioProject 530074 - NCBI."" Accessed December 14, 2022. https://www.ncbi.nlm.nih.gov/bioproject/PRJNA530074.",B
